,word,frequency,n_characters,romanized_form
的,的,1,2,de
在,在,1,3,zài
了,了,1,2,le
一,一,1,2,yī
是,是,1,3,shì
和,和,1,2,hé
年,年,1,4,nián
個,個,1,2,gè
他,他,1,2,tā
這,這,1,3,zhè
為,為,1,3,wèi
於,於,1,2,yú
中,中,1,5,zhōng
有,有,1,3,yǒu
被,被,1,3,bèi
人,人,1,3,rén
他們,他們,2,5,tāmen
月,月,1,3,yuè
上,上,1,5,shàng
來,來,1,3,lái
並,並,1,4,bìng
會,會,1,3,huì
她,她,1,2,tā
對,對,1,3,duì
也,也,1,2,yě
我,我,1,2,wǒ
但,但,1,3,dàn
說,說,1,4,shuō
不,不,1,2,bù
就,就,1,3,jiù
與,與,1,2,yǔ
兩,兩,1,5,liǎng
而,而,1,2,ér
從,從,1,4,cóng
次,次,1,2,cì
但是,但是,2,6,dànshì
其,其,1,2,qí
還,還,1,3,hái
它,它,1,2,tā
我們,我們,2,5,wǒmen
時,時,1,3,shí
都,都,1,3,dōu
後,後,1,3,hòu
著,著,1,3,zhù
將,將,1,5,jiāng
該,該,1,3,gāi
能,能,1,4,néng
位,位,1,3,wèi
已經,已經,2,6,yǐjīng
以及,以及,2,4,yǐjí
到,到,1,3,dào
公司,公司,2,6,gōngsī
可能,可能,2,6,kěnéng
這些,這些,2,6,zhèxiē
世紀,世紀,2,5,shìjì
地區,地區,2,4,dìqū
可以,可以,2,4,kěyǐ
工作,工作,2,7,gōngzuò
美國,美國,2,6,měiguó
那,那,1,2,nà
此,此,1,2,cǐ
沒有,沒有,2,6,méiyǒu
所,所,1,3,suǒ
把,把,1,2,bǎ
開始,開始,2,6,kāishǐ
因為,因為,2,6,yīnwèi
自,自,1,2,zì
政府,政府,2,7,zhèngfǔ
自己,自己,2,4,zìjǐ
之,之,1,3,zhī
下,下,1,3,xià
前,前,1,4,qián
之後,之後,2,6,zhīhòu
日,日,1,2,rì
多,多,1,3,duō
電影,電影,2,8,diànyǐng
讓,讓,1,4,ràng
英國,英國,2,7,yīngguó
