repetitions,orthographic_form,meanDuration,medianDuration,stDevDuration
190761,,0.522420626071367,0.5300000000000002,0.357692881626487
70,прямо,0.3382857142857143,0.31499999999999995,0.08508770984899604
5,предостерегающе,0.9219999999999999,0.9299999999999999,0.04166533331199935
13,кричала,0.5353846153846155,0.5099999999999998,0.07752075499904078
328,ольга,0.38701219512195123,0.3700000000000001,0.09153288012491427
243,многие,0.42098765432098767,0.40000000000000013,0.08725731690670445
38,выразили,0.49368421052631584,0.4700000000000002,0.08244363473663237
69,обеспокоенность,0.888695652173913,0.8799999999999999,0.12507288360384308
5058,по,0.13103005140371687,0.1200000000000001,0.04184772862062107
137,поводу,0.4023357664233577,0.38000000000000034,0.07334811282554941
72,нынешней,0.5127777777777778,0.4950000000000001,0.07307192465536609
294,ситуации,0.6470408163265305,0.6399999999999998,0.10709722060146148
189,соединенные,0.6585714285714286,0.6599999999999999,0.08463786179530963
195,штаты,0.39210256410256417,0.3799999999999999,0.0670643758358034
153,америки,0.53359477124183,0.5299999999999994,0.08655055856750067
1108,уже,0.22498194945848377,0.21000000000000008,0.0618246883773021
5,ввели,0.386,0.3500000000000001,0.08428523002282193
14,жесткие,0.49500000000000005,0.4600000000000002,0.13151588714459006
39,санкции,0.5753846153846154,0.56,0.10923618621454255
19254,в,0.06879869118105329,0.06000000000000005,0.04458801968324901
416,отношении,0.5940384615384615,0.5700000000000003,0.0955954942489972
36,руководства,0.6802777777777779,0.675,0.11877818054188027
249,сирии,0.4603212851405622,0.45999999999999996,0.08765060010948716
2049,все,0.24047828208882382,0.22999999999999998,0.0678964103584079
1459,эти,0.22799177518848526,0.22000000000000064,0.05796418206563027
10,субъекты,0.576,0.5599999999999998,0.08002499609497021
79,играют,0.40645569620253164,0.3900000000000001,0.07584190710033976
185,крайне,0.37172972972972973,0.36999999999999994,0.045952177637808234
183,важную,0.42464480874316946,0.41000000000000014,0.06642930062289963
666,роль,0.25560060060060064,0.25,0.05739083853706641
6,облегчении,0.6549999999999999,0.6449999999999998,0.03947573094109014
37,страданий,0.6291891891891892,0.6199999999999997,0.09047557168824938
10,растущего,0.5740000000000001,0.5700000000000003,0.027640549922170552
70,числа,0.3901428571428572,0.3700000000000001,0.07520434746443198
24,палестинских,0.7083333333333334,0.6950000000000003,0.07380529941828176
29,беженцев,0.6079310344827588,0.6099999999999994,0.08184844322007921
40,мирный,0.38424999999999987,0.36999999999999994,0.08139064749711729
380,процесс,0.48947368421052634,0.46999999999999975,0.09697388059681607
105,попрежнему,0.6323809523809525,0.6100000000000003,0.08110573709405001
127,стоит,0.3675590551181101,0.35999999999999993,0.07004741403706796
7991,на,0.128580903516456,0.1200000000000001,0.04701436030159791
63,месте,0.4549206349206349,0.45999999999999996,0.06751538368784928
7,владимир,0.5771428571428573,0.5800000000000001,0.05310751512983174
12,вытащил,0.5016666666666666,0.5149999999999999,0.07301065371269834
6,пробку,0.5066666666666665,0.5099999999999999,0.04384315479321958
508,один,0.34533464566929134,0.29999999999999993,0.13639656106567988
906,во,0.1259271523178808,0.11999999999999994,0.0448109986308325
173,первых,0.44554913294797693,0.44999999999999996,0.08690812477799421
1231,они,0.2336799350121852,0.23,0.06264045076312359
38,создали,0.4907894736842106,0.485,0.05445333970461452
8,чрезвычайное,0.78,0.7450000000000001,0.1270826502713884
14,гуманитарное,0.6921428571428574,0.6800000000000002,0.06763120279750118
174,положение,0.5895402298850575,0.5800000000000001,0.09163154661785063
189,которое,0.39047619047619037,0.3799999999999999,0.06172378919576548
39,угрожает,0.5520512820512821,0.52,0.10789785024781513
179,миру,0.33675977653631284,0.33000000000000007,0.06488152806268474
19693,и,0.09542578581221754,0.08999999999999997,0.052826932053773604
199,стабильности,0.7334170854271356,0.73,0.09894103573497341
199,гаити,0.49492462311557794,0.49999999999999956,0.09048095580591212
5,коллективная,0.6040000000000001,0.5900000000000001,0.035552777669262355
79,политическая,0.7087341772151899,0.6900000000000001,0.12197081087430585
279,приверженность,0.7216487455197131,0.71,0.09667670650608426
